                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    156,                0.65416,                0.55735,                 1.0525,                0.98386,                0.95703,                0.97934,                0.91441,                0.41917,                0.36067,                0.82192,              0.0003326,              0.0003326,              0.0003326
                    157,                0.60214,                0.48525,                0.90996,                0.98572,                0.95819,                0.97957,                0.91166,                0.42632,                0.36391,                0.82305,             0.00032553,             0.00032553,             0.00032553
                    158,                0.57159,                 0.4652,                0.89992,                0.98783,                0.95894,                0.97949,                  0.908,                0.43225,                0.36742,                0.82384,             0.00031845,             0.00031845,             0.00031845
                    159,                0.62106,                0.50631,                 1.0026,                0.98943,                0.95819,                0.97968,                0.91696,                0.43154,                0.36779,                0.82393,             0.00031138,             0.00031138,             0.00031138
                    160,                 0.5335,                0.53837,                0.95521,                0.99159,                0.95819,                0.97907,                0.91953,                0.42421,                0.36365,                0.82283,             0.00030431,             0.00030431,             0.00030431
                    161,                0.50549,                0.43142,                0.88169,                0.99219,                0.96068,                0.97925,                 0.9172,                0.42192,                0.36027,                0.82175,             0.00029723,             0.00029723,             0.00029723
                    162,                0.57642,                0.46132,                0.92201,                0.99471,                  0.962,                0.97983,                0.91976,                0.42671,                0.35923,                0.82148,             0.00029016,             0.00029016,             0.00029016
                    163,                0.54322,                0.48299,                0.91863,                0.99545,                0.96101,                0.97988,                0.91723,                0.43299,                0.36347,                0.82125,             0.00028308,             0.00028308,             0.00028308
                    164,                0.57084,                0.50622,                0.94043,                 0.9934,                0.96051,                0.97905,                0.91393,                0.42718,                0.36156,                0.81947,             0.00027601,             0.00027601,             0.00027601
                    165,                0.52976,                0.46995,                0.90568,                 0.9953,                0.95729,                0.97941,                0.91713,                0.41293,                0.35239,                0.81795,             0.00026894,             0.00026894,             0.00026894
                    166,                 0.5664,                0.50717,                0.93015,                0.98978,                0.95771,                0.97888,                0.92185,                0.40369,                0.34399,                0.81684,             0.00026186,             0.00026186,             0.00026186
                    167,                0.49224,                0.48696,                0.88127,                 0.9884,                 0.9609,                0.97932,                0.92001,                0.40471,                0.34416,                0.81701,             0.00025479,             0.00025479,             0.00025479
                    168,                0.63841,                 0.5706,                0.93952,                0.99086,                0.96123,                0.97975,                0.91893,                0.41523,                0.34831,                0.81918,             0.00024772,             0.00024772,             0.00024772
                    169,                0.54766,                0.53416,                0.90435,                0.99084,                0.96092,                0.97953,                0.92166,                0.40548,                0.34256,                0.81807,             0.00024064,             0.00024064,             0.00024064
                    170,                0.49992,                0.41646,                0.88328,                0.99393,                0.95994,                0.97991,                0.92579,                0.39316,                0.33506,                 0.8158,             0.00023357,             0.00023357,             0.00023357
                    171,                0.64348,                0.49406,                0.94852,                0.99438,                0.95688,                0.98006,                0.92553,                0.38654,                0.33235,                0.81413,              0.0002265,              0.0002265,              0.0002265
                    172,                0.50589,                0.45807,                0.90866,                0.99192,                0.95436,                0.98001,                0.92353,                0.38624,                0.33307,                0.81383,             0.00021942,             0.00021942,             0.00021942
                    173,                0.50515,                0.42001,                0.88442,                0.98736,                0.95952,                0.97997,                 0.9246,                0.39087,                0.33513,                0.81395,             0.00021235,             0.00021235,             0.00021235
                    174,                 0.5398,                0.45413,                0.90408,                0.98712,                0.95915,                0.97962,                0.92143,                0.39292,                0.33674,                0.81378,             0.00020528,             0.00020528,             0.00020528
                    175,                0.52493,                0.43436,                0.89067,                0.98838,                0.96256,                0.98061,                0.92212,                0.39161,                0.33467,                0.81346,              0.0001982,              0.0001982,              0.0001982
                    176,                0.52979,                0.43485,                0.92187,                0.98694,                0.96382,                0.98064,                0.92262,                0.38542,                0.33443,                0.81238,             0.00019113,             0.00019113,             0.00019113
                    177,                0.49686,                0.41999,                0.90153,                0.98804,                0.96283,                0.98045,                0.92554,                0.38042,                0.33259,                0.81146,             0.00018406,             0.00018406,             0.00018406
                    178,                0.54944,                0.45725,                 0.9113,                0.99227,                0.96085,                0.98287,                0.92382,                0.38076,                0.33345,                0.81119,             0.00017698,             0.00017698,             0.00017698
                    179,                0.49386,                0.44233,                0.88975,                 0.9941,                0.96031,                0.98138,                0.92397,                0.38523,                0.33274,                0.81174,             0.00016991,             0.00016991,             0.00016991
                    180,                0.46585,                0.42254,                0.89637,                0.99488,                0.96098,                0.98037,                0.92222,                0.39066,                0.33146,                0.81236,             0.00016283,             0.00016283,             0.00016283
                    181,                0.56274,                0.62173,                0.91656,                0.99558,                0.96051,                   0.98,                0.92286,                0.38828,                0.33077,                0.81156,             0.00015576,             0.00015576,             0.00015576
                    182,                0.51499,                0.42792,                0.88542,                0.99435,                0.96051,                0.98053,                0.92701,                0.37919,                0.32771,                0.80976,             0.00014869,             0.00014869,             0.00014869
                    183,                0.45638,                0.39112,                0.90339,                0.99504,                0.96051,                0.98063,                0.92904,                0.37354,                0.32397,                0.80841,             0.00014161,             0.00014161,             0.00014161
                    184,                0.50447,                0.45167,                0.89994,                0.99508,                0.96167,                0.98059,                0.93017,                0.37247,                0.32139,                0.80761,             0.00013454,             0.00013454,             0.00013454
                    185,                0.49036,                0.40537,                 0.8735,                0.99489,                0.96167,                 0.9807,                0.92817,                0.37059,                0.32128,                 0.8069,             0.00012747,             0.00012747,             0.00012747
                    186,                0.61728,                 0.5274,                 1.0374,                0.99557,                 0.9624,                0.98062,                0.92757,                0.37317,                0.32196,                0.80739,             0.00012039,             0.00012039,             0.00012039
                    187,                0.45824,                0.43702,                0.90219,                  0.995,                0.96283,                0.98071,                0.92816,                0.37376,                0.32235,                0.80749,             0.00011332,             0.00011332,             0.00011332
                    188,                0.51918,                0.44015,                0.93214,                0.99479,                0.96283,                0.98089,                0.92848,                0.36824,                0.31861,                0.80671,             0.00010625,             0.00010625,             0.00010625
                    189,                 0.5369,                0.50333,                0.89046,                0.99451,                0.96283,                0.98116,                0.92988,                 0.3607,                0.31438,                0.80544,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    190,                0.47593,                0.56135,                0.87328,                0.99443,                0.96341,                0.98107,                0.92811,                0.36293,                0.31662,                0.80578,             9.2099e-05,             9.2099e-05,             9.2099e-05
                    191,                0.53548,                 0.4928,                 0.8719,                0.99532,                  0.964,                0.98196,                0.92506,                0.36825,                 0.3201,                0.80633,             8.5026e-05,             8.5026e-05,             8.5026e-05
                    192,                0.67725,                0.58676,                0.85837,                 0.9931,                  0.964,                   0.98,                0.92334,                0.37237,                0.32552,                0.80653,             7.7952e-05,             7.7952e-05,             7.7952e-05
                    193,                0.38739,                0.37097,                 0.8143,                0.99467,                0.96283,                0.97942,                0.92423,                0.37531,                0.33057,                0.80679,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    194,                0.52192,                0.55635,                0.87406,                0.99564,                0.96158,                0.97916,                0.92325,                0.37835,                0.33464,                0.80691,             6.3805e-05,             6.3805e-05,             6.3805e-05
                    195,                0.63993,                0.46999,                0.86191,                 0.9966,                0.96158,                0.98012,                0.92199,                0.37958,                0.33524,                0.80673,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    196,                0.52864,                0.39278,                0.84797,                 0.9941,                0.96283,                0.98008,                0.92171,                0.37987,                0.33385,                 0.8068,             4.9658e-05,             4.9658e-05,             4.9658e-05
                    197,                0.66044,                0.57727,                 1.0812,                0.99433,                0.96457,                0.97854,                0.92218,                0.37743,                 0.3299,                0.80652,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    198,                0.43057,                 0.3746,                0.80747,                0.99471,                0.96501,                0.97848,                 0.9242,                0.37599,                0.32751,                0.80649,             3.5511e-05,             3.5511e-05,             3.5511e-05
                    199,                0.49225,                0.48975,                0.87083,                0.99354,                0.96537,                0.97843,                0.92615,                0.37308,                0.32496,                 0.8061,             2.8437e-05,             2.8437e-05,             2.8437e-05
